FID,OBJECTID,SHAPE,SE_ANNO_CAD_DATA
HYDRANTOGD.3324091,3324091,POINT (16.259663909772144 48.13827920722236),
HYDRANTOGD.3324092,3324092,POINT (16.449081872465378 48.271623868437615),
HYDRANTOGD.3324093,3324093,POINT (16.373833346986487 48.23521765972018),
HYDRANTOGD.3324094,3324094,POINT (16.299476122868988 48.22013629162216),
HYDRANTOGD.3324095,3324095,POINT (16.285046898468494 48.18472731802782),
HYDRANTOGD.3324096,3324096,POINT (16.377085112467867 48.157630735246016),
HYDRANTOGD.3324097,3324097,POINT (16.46063660715735 48.22054063525299),
HYDRANTOGD.3324098,3324098,POINT (16.314825299867138 48.24526143694356),
HYDRANTOGD.3324099,3324099,POINT (16.293447416549707 48.172618124831054),
HYDRANTOGD.3324100,3324100,POINT (16.486518719969276 48.204304376289606),
HYDRANTOGD.3324101,3324101,POINT (16.418401020609966 48.227444303807516),
HYDRANTOGD.3324102,3324102,POINT (16.362570814199618 48.217303866756986),
HYDRANTOGD.3324103,3324103,POINT (16.402030750137172 48.2206785587937),
HYDRANTOGD.3324104,3324104,POINT (16.265343938345815 48.15545792761408),
HYDRANTOGD.3324105,3324105,POINT (16.349384759366643 48.249237186721835),
HYDRANTOGD.3324106,3324106,POINT (16.343209680483724 48.23884402765105),
HYDRANTOGD.3324107,3324107,POINT (16.38113374014942 48.19661242540993),
HYDRANTOGD.3324108,3324108,POINT (16.422916178791695 48.16803933187485),
HYDRANTOGD.3324109,3324109,POINT (16.29339710294879 48.197240680824464),
HYDRANTOGD.3324110,3324110,POINT (16.35237652733598 48.21480575637322),
HYDRANTOGD.3324111,3324111,POINT (16.314069953779608 48.211000937147894),
HYDRANTOGD.3324112,3324112,POINT (16.27998792610408 48.13206764985681),
HYDRANTOGD.3324113,3324113,POINT (16.446471219619973 48.23279775552196),
HYDRANTOGD.3324114,3324114,POINT (16.388806456702593 48.20695612844182),
HYDRANTOGD.3324115,3324115,POINT (16.38231141063545 48.16940263839838),
HYDRANTOGD.3324116,3324116,POINT (16.352892944874576 48.25532694890995),
HYDRANTOGD.3324117,3324117,POINT (16.490587937748455 48.251107742759324),
HYDRANTOGD.3324118,3324118,POINT (16.423848796443203 48.15390095225212),
HYDRANTOGD.3324119,3324119,POINT (16.381034766455723 48.29368221429791),
HYDRANTOGD.3324120,3324120,POINT (16.463208802688655 48.26504003735795),
HYDRANTOGD.3324121,3324121,POINT (16.295021203802786 48.23472194279113),
HYDRANTOGD.3324122,3324122,POINT (16.377494872478724 48.21777618330114),
HYDRANTOGD.3324123,3324123,POINT (16.45250218373169 48.234627125275615),
