FID,SHAPE,NAME,ADRESSE,SE_SDO_ROWID,SE_ANNO_CAD_DATA,WEBLINK1
POLIZEIOGD.1065097,POINT (16.364160330844634 48.2150752347662),Landespolizeidirektion Wien,"1., Schottenring 7-9",1065097,,http://www.polizei.gv.at/
POLIZEIOGD.1065112,POINT (16.35727655828703 48.234316227581736),Landespolizeidirektion Wien Verkehrsamt,"9., Josef-Holaubek-Platz 1",1065112,,http://www.polizei.gv.at/
POLIZEIOGD.1065311,POINT (16.32439198633503 48.17429103842566),Polizeiinspektion Hohenbergstraße,"12., Hohenbergstraße 1",1065311,,http://www.polizei.gv.at/
POLIZEIOGD.1065312,POINT (16.281956403426594 48.2073427789702),Polizeiinspektion Baumgartner Höhe,"14., Baumgartner Höhe 2",1065312,,http://www.polizei.gv.at/
POLIZEIOGD.1065313,POINT (16.386044767521412 48.206979467750756),Polizeiinspektion Wien Mitte,"3., Invalidenstraße 2",1065313,,http://www.polizei.gv.at/
POLIZEIOGD.1065332,POINT (16.366653305928562 48.2599104918357),Polizeiinspektion Nußdorfer Platz,"19., Nußdorfer Platz 1-2",1065332,,http://www.polizei.gv.at/
POLIZEIOGD.1065333,POINT (16.326213527986884 48.16087017267396),Polizeiinspektion Am Schöpfwerk,"12., Am Schöpfwerk 29",1065333,,http://www.polizei.gv.at/
POLIZEIOGD.1065334,POINT (16.369073521101704 48.20131271282622),Polizeiinspektion Kärntnertorpassage (Karlsplatz),"1., Kärntnertorpassage",1065334,,http://www.polizei.gv.at/
POLIZEIOGD.1065335,POINT (16.30238546862456 48.18596031474352),Polizeiinspektion Am Platz,"13., Am Platz (Schönbrunn, Hiietzinger Tor)",1065335,,http://www.polizei.gv.at/
POLIZEIOGD.1065056,POINT (16.35590491326174 48.24736003032419),Polizeiinspektion Hohe Warte,"19., Hohe Warte 32",1065056,,http://www.polizei.gv.at/
POLIZEIOGD.1065057,POINT (16.36939146914255 48.23397104710073),Polizeiinspektion Pappenheimgasse,"20., Pappenheimgasse 33",1065057,,http://www.polizei.gv.at/
